Vendor Name,DATE - Split Order Requested to Ship Date,Split Order Number,SKU ID (Vendor SKU ID),Product Name,Order Item Quantity (# of units ordered),Gross Placed: Total Wholesale $,Invoice #
Née Name Change,4/24/25,44886929,NEELUXENJ,Luxe Name Change Kit,1,40.05,631
Née Name Change,4/24/25,45809867,NEELUXEAZ,Luxe Name Change Kit,1,40.05,632
Née Name Change,4/24/25,45864021,NEELUXEGA,Luxe Name Change Kit,1,40.05,633
Née Name Change,4/25/25,45958557,NEELUXEAL,Luxe Name Change Kit,1,40.05,634
Née Name Change,4/26/25,45868256,NEELUXENJ,Luxe Name Change Kit,1,40.05,635
Née Name Change,4/26/25,45962571,NEELUXEMS,Luxe Name Change Kit,1,40.05,636
Née Name Change,4/26/25,45977478,NEELUXENJ,Luxe Name Change Kit,1,40.05,637
Née Name Change,4/27/25,45912444,NEELUXEMD,Luxe Name Change Kit,1,40.05,638
Née Name Change,4/27/25,45949868,NEELUXEAZ,Luxe Name Change Kit,1,40.05,639
Née Name Change,4/27/25,45995234,NEELUXEMI,Luxe Name Change Kit,1,40.05,640
Née Name Change,4/27/25,45998095,NEELUXETN,Luxe Name Change Kit,1,40.05,641
Née Name Change,4/27/25,46004600,NEELUXESC,Luxe Name Change Kit,1,40.05,642
Née Name Change,4/28/25,44828714,NEELUXEOH,Luxe Name Change Kit,1,40.05,643
Née Name Change,4/28/25,45667161,NEELUXEPA,Luxe Name Change Kit,1,40.05,644
Née Name Change,4/28/25,45931972,NEELUXEOH,Luxe Name Change Kit,1,40.05,645
Née Name Change,4/28/25,46007335,NEELUXEMA,Luxe Name Change Kit,1,40.05,646
Née Name Change,4/28/25,46022728,NEELUXEMN,Luxe Name Change Kit,1,40.05,647
Née Name Change,4/29/25,45469255,NEELUXEAK,Luxe Name Change Kit,1,40.05,648
Née Name Change,4/29/25,45783528,NEELUXENY,Luxe Name Change Kit,1,40.05,649
Née Name Change,4/29/25,46041186,NEELUXENJ,Luxe Name Change Kit,1,40.05,650
Née Name Change,4/29/25,46047767,NEELUXEVA,Luxe Name Change Kit,1,40.05,651
Née Name Change,4/30/25,45955536,NEELUXECA,Luxe Name Change Kit,1,40.05,652
Née Name Change,4/30/25,46061460,NEELUXEFL,Luxe Name Change Kit,1,40.05,653
Née Name Change,4/30/25,46072804,NEELUXECT,Luxe Name Change Kit,1,40.05,654
